Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2024_q1,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2024,1,107,382,104,239
3month_rolling,,Hernia Repair  (Adult),,Zone 4,Dartmouth General,2024,3,196,490,128,300
2022_q4,,Ear Tubes  (Pediatric),,IWK,IWK,2022,4,46,106,37,113
2023_q1,,Prostate Surgery,,Total,Provincial,2023,1,42,132,79,374
2022_q4,,Carpal Tunnel Surgery,,Zone 4,Hants Community Hospital,2022,4,49,352,28,101
2022_q4,,Septoplasty,,Zone 4,Hants Community Hospital,2022,4,120,226,178,652
2022_q3,,Cornea and External Disease,,Zone 4,QE2,2022,3,179,431,135,624
2024_q1,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2024,1,258,647,46,86
12month_rolling,Dental,All,"Briand, Beth",,,,,35,108,72,140
2023_q3,,Bowel Resection,,Zone 1,Valley Regional,2023,3,14,383,29,51
12month_rolling,Obstetrics/Gynaecology,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),"Rudd, Michael W",,,,,282,754,287,378
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Kavanagh, Rhys",,,,,29,91,19,34
2023_q1,,Lymph Node Biopsy,,Zone 4,QE2,2023,1,10,19,35,55
2023_q2,,Hip Replacement,,Total,Provincial,2023,2,127,461,175,608
2022_q4,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2022,4,39,122,163,201
2024_q2,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2024,2,,,29,200
2024_q1,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2024,1,53,99,117,1030
2024_q3,,Lung Cancer Surgery,,Zone 4,QE2,2024,3,27,63,39,85
12month_rolling,,Foot - Bunionectomy,,Total,Provincial,2024,3,215,805,126,189
2024_q1,,Bowel Resection - Laparoscopic,,Zone 4,QE2,2024,1,37,128,35,66
2023_q3,,Knee Replacement,,Total,Provincial,2023,3,188,521,207,605
2023_q1,,Hysteroscopy,,Zone 1,South Shore Regional,2023,1,27,296,49,94
2023_q4,,Pancreas Surgery,,Total,Provincial,2023,4,15,21,30,69
2024_q3,,Brain Surgery  (Pediatric),,IWK,IWK,2024,3,,,72,123
2022_q4,,Knee Scope,,Zone 2,Aberdeen Hospital,2022,4,66,170,63,117
2022_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2022,4,18,45,126,230
3month_rolling,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2024,3,77,105,69,232
12month_rolling,Obstetrics/Gynaecology,All,"Nair, Cynthia",,,,,20,36,30,52
12month_rolling,,Hip Arthroscopy,,Zone 4,Dartmouth General,2024,3,80,295,192,297
2024_q1,,Cardiovascular Surgery,,Total,Provincial,2024,1,,,7,49
2024_q3,,Knee Replacement,,Zone 3,Cape Breton Regional,2024,3,166,203,113,202
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Enright, Jonathan Boyde",,,,,13,21,29,45
12month_rolling,Orthopaedic,Shoulder Arthroscopy,"El-Tahan, Tahmir H.",,,,,98,275,112,218
12month_rolling,,Hernia Repair - Umbilical,,Zone 4,QE2,2024,3,88,373,78,183
2022_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,Dartmouth General,2022,3,26,80,81,163
2023_q3,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2023,3,127,204,53,692
2022_q4,,Carpal Tunnel Surgery,,Zone 1,South Shore Regional,2022,4,41,128,127,254
2023_q3,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2023,3,142,251,56,81
2023_q3,,Wound Management,,Total,Provincial,2023,3,,,13,64
2022_q4,,Bone / Cartilage Graft,,Total,Provincial,2022,4,124,606,175,331
2023_q1,,Gastric Surgery - Laparoscopic,,Total,Provincial,2023,1,46,219,94,300
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Nee, Brigid",,,,,106,382,151,284
2024_q1,,Foot - Bunionectomy,,Total,Provincial,2024,1,,,126,167
2024_q2,,Septoplasty,,Zone 4,Dartmouth General,2024,2,88,146,151,423
2023_q3,,Chest Scopes  (Adult),,Total,Provincial,2023,3,10,14,13,41
2024_q2,,Hernia Repair - Ventral,,Total,Provincial,2024,2,55,232,114,324
2023_q1,,Nerve or Brain Stimulation,,Zone 4,QE2,2023,1,,,50,71
12month_rolling,Thoracic Surgery,Lung Surgery,"Plourde, Madelaine M",,,,,28,132,48,114
2024_q2,,Whipple Procedures,,Total,Provincial,2024,2,10,19,18,29
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Corsten, Martin",,,,,13,46,36,233
12month_rolling,,Hernia Repair - Laparoscopic Ventral,,Zone 1,Valley Regional,2024,3,,,69,176
2022_q3,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2022,3,66,336,100,287
3month_rolling,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2024,3,24,135,34,146
12month_rolling,Oral Maxillofacial,Maxillofacial Deformity Surgery,"Brady, James",,,,,424,541,253,443
12month_rolling,Ophthalmology,Glaucoma (Eye Pressure Lowering Surgery),"Eadie, Brennan",,,,,25,123,27,119
2023_q3,,Back Surgery  (Pediatric),,IWK,IWK,2023,3,,,360,720
2024_q3,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2024,3,107,213,100,258
2024_q1,,Endarterectomy,,Zone 4,QE2,2024,1,,,17,67
2024_q1,,Liver Surgery,,Zone 4,QE2,2024,1,15,53,16,74
2023_q2,,Sacral Nerve Stimulation,,Zone 4,QE2,2023,2,,,100,188
2023_q1,,Cataract Surgery,,Zone 2,Cumberland Regional,2023,1,254,278,50,62
12month_rolling,Ophthalmology,Glaucoma (Eye Pressure Lowering Surgery),"Nicolela, Marcelo",,,,,27,85,16,79
2022_q3,,Vitreoretinal Diseases,,Total,Provincial,2022,3,27,100,28,125
2022_q3,,Gallbladder Surgery,,Zone 4,Dartmouth General,2022,3,91,223,105,209
2023_q3,,Knee Replacement,,Zone 2,Aberdeen Hospital,2023,3,221,378,43,167
2023_q2,,Breast Reduction Surgery,,Zone 4,QE2,2023,2,1045,1401,64,302
2024_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2024,3,253,843,182,335
2024_q3,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2024,3,17,29,18,39
2022_q4,,Craniotomy or Craniectomy,,Total,Provincial,2022,4,,,80,172
2022_q4,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2022,4,52,140,82,146
12month_rolling,Orthopaedic,All,"Sequeira, Stanislaus",,,,,116,187,321,656
12month_rolling,Urology,Cystoscopy,"Himmelman, Jeffrey George",,,,,226,513,38,187
12month_rolling,Ophthalmology,Cataract Surgery,"Gao, Jennifer",,,,,124,354,89,138
2024_q1,,Prostate Surgery,,Total,Provincial,2024,1,34,190,78,392
2024_q3,,Male Reproductive System Surgery,,IWK,IWK,2024,3,,,160,550
12month_rolling,,Hysteroscopy,,Zone 4,Dartmouth General,2024,3,38,247,52,116
2023_q3,,Hysteroscopy,,Zone 2,Colchester East Hants Health Centre,2023,3,68,354,65,282
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Pierce, Marianne",,,,,43,129,46,95
2023_q2,,Vitreoretinal Diseases,,Zone 4,QE2,2023,2,35,236,15,98
2024_q1,,Gallbladder Surgery,,Zone 2,Cumberland Regional,2024,1,35,91,45,105
2022_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2022,4,8,51,33,111
2024_q3,,Gastrointestinal Tract Surgery,,Zone 2,Aberdeen Hospital,2024,3,,,29,64
2024_q1,,Shoulder Arthroscopy,,Zone 4,Dartmouth General,2024,1,69,149,118,686
12month_rolling,All Specialties,,,,,2024,3,,,65,284
12month_rolling,Obstetrics/Gynaecology,All,"Okuboyejo, Fazil",,,,,46,313,39,88
12month_rolling,Plastic Surgery,Nerve Surgery,"Singh, Ashvir",,,,,34,73,80,156
12month_rolling,Orthopaedic,Hip Replacement,"Howatt, Jonathan",,,,,371,421,608,667
12month_rolling,,Head and Neck Surgery,,Zone 4,QE2,2024,3,15,64,24,70
2024_q2,,Hip Replacement,,Total,Provincial,2024,2,168,413,129,537
3month_rolling,,Lung Surgery,,Total,Provincial,2024,3,28,105,42,103
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Yaffe, Paul",,,,,13,44,34,40
3month_rolling,,Knee Replacement,,Zone 2,Aberdeen Hospital,2024,3,72,429,109,274
2024_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,Hants Community Hospital,2024,3,241,275,30,113
2024_q3,,Knee Replacement,,Total,Provincial,2024,3,240,577,136,444
2024_q2,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2024,2,14,40,27,68
2023_q1,,Male Reproductive System Surgery,,IWK,IWK,2023,1,,,79,300
2023_q3,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2023,3,77,483,170,486
2024_q3,,Prostatectomy,,Total,Provincial,2024,3,28,92,152,242
2024_q3,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 3,Cape Breton Regional,2024,3,101,225,,
2024_q2,,Dental Extractions and Restorations  (Adult),,Zone 4,QE2,2024,2,129,334,126,827
12month_rolling,Obstetrics/Gynaecology,All,"Parr, Grace",,,,,84,531,48,117
2023_q3,,Colorectal Cancer Surgery,,Zone 4,QE2,2023,3,20,238,29,63
2022_q4,,Strabismus Surgery  (Pediatric),,Total,Provincial,2022,4,96,351,160,298
2024_q3,,Tonsillectomy and/or Adenoidectomy  (Adult),,Zone 4,Dartmouth General,2024,3,,,47,62
12month_rolling,,Hernia Repair - Ventral,,Zone 4,Dartmouth General,2024,3,181,288,,
3month_rolling,,Knee Replacement,,Zone 4,QE2,2024,3,138,287,360,1111
2023_q2,,Knee Scope with ACL Repair,,Zone 4,QE2,2023,2,134,204,130,278
2024_q3,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2024,3,36,42,36,192
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2024,3,70,341,64,237
2023_q1,,Gallbladder Surgery,,Zone 4,Hants Community Hospital,2023,1,84,122,56,179
2023_q4,,Hernia Repair  (Adult),,Zone 3,St. Martha's Regional,2023,4,14,85,179,357
2022_q3,,Lung Surgery,,Total,Provincial,2022,3,20,42,28,72
3month_rolling,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2024,3,16,54,31,41
12month_rolling,Otolaryngology (ENT),,,,,2024,3,,,84,333
12month_rolling,General Surgery,Bowel Resection - Open,"Booth, John",,,,,26,62,31,42
2024_q1,,Hysteroscopy,,Zone 4,Dartmouth General,2024,1,29,122,49,157
2024_q1,,Strabismus Surgery  (Adult),,Total,Provincial,2024,1,188,801,78,140
2023_q4,,Video-Assisted Thoracic Surgery,,Total,Provincial,2023,4,27,64,37,97
2023_q3,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2023,3,23,43,25,44
2024_q1,,Knee Scope,,Zone 1,Yarmouth Regional,2024,1,,,64,104
12month_rolling,Ophthalmology,All,"Zaki, Amr M",,,,,176,554,85,337
12month_rolling,General Surgery,All,"Watson-Jessome, Jane",,,,,80,247,33,112
12month_rolling,Ophthalmology,All,"Dahrab, Mishari M",,,,,214,799,113,315
2022_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Glace Bay,2022,3,,,205,293
2023_q2,,Gastrointestinal Tract Surgery,,Total,Provincial,2023,2,26,158,44,188
12month_rolling,,Oculo Plastic Surgery,,Zone 1,South Shore Regional,2024,3,228,346,119,263
2024_q3,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2024,3,,,92,120
12month_rolling,,Oculo Plastic Surgery,,Zone 4,QE2,2024,3,71,397,46,260
2024_q3,,Wound Management,,Total,Provincial,2024,3,,,11,20
2024_q3,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,35,139,32,53
12month_rolling,,Hysteroscopy,,Zone 3,St. Martha's Regional,2024,3,35,661,56,158
12month_rolling,,Foot - Arthrodesis,,Zone 3,Cape Breton Regional,2024,3,37,55,96,258
2023_q3,,Glaucoma (Eye Pressure Lowering Surgery),,Total,Provincial,2023,3,40,504,30,117
12month_rolling,,Laryngology and Vocal Cord Surgery,,Zone 4,QE2,2024,3,39,195,56,387
2024_q2,,Bladder Cancer Surgery,,Zone 1,Yarmouth Regional,2024,2,,,48,175
2023_q3,,Hernia Repair - Inguinal/Femoral,,Zone 3,Cape Breton Regional,2023,3,178,622,44,583
2024_q3,,Kidney Stone Surgery,,Zone 1,Valley Regional,2024,3,,,44,167
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Frenette, Mary",,,,,141,339,155,398
2023_q3,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2023,3,13,48,56,123
2023_q4,,Breast Reduction Surgery,,Total,Provincial,2023,4,97,1223,87,371
2022_q4,,Orthopaedic Trauma,,Zone 4,QE2,2022,4,,,93,161
2024_q1,,Male Circumcision  (Adult),,Zone 4,Hants Community Hospital,2024,1,,,118,146
2024_q2,,Cervical Spine (Neck) Surgery,,Zone 4,QE2,2024,2,49,172,64,192
2024_q3,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2024,3,113,287,41,126
12month_rolling,,Hand / Upper Extremity,,IWK,IWK,2024,3,,,179,328
2022_q3,,Tendon / Ligament Repair,,Total,Provincial,2022,3,81,509,62,381
2024_q2,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,2,42,95,91,222
12month_rolling,Orthopaedic,All,"Wong, Ivan",,,,,90,399,260,680
2023_q1,,Hysteroscopy,,Zone 1,Valley Regional,2023,1,66,644,75,280
2024_q3,,Brain Surgery  (Pediatric),,Total,Provincial,2024,3,,,72,123
2024_q2,,Pilonidal Cyst Surgery,,Total,Provincial,2024,2,28,567,93,440
2022_q4,,Knee Replacement,,Zone 3,Cape Breton Regional,2022,4,127,297,153,370
2022_q3,,Carpal Tunnel Surgery,,Zone 4,Dartmouth General,2022,3,106,355,,
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Incisional,"Kelly, Ryan Patrick",,,,,622,1090,143,675
2023_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Cape Breton Regional,2023,1,40,79,,
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Kenyon, Chris",,,,,22,148,49,97
2023_q3,,Septoplasty,,Zone 4,Hants Community Hospital,2023,3,53,209,85,197
12month_rolling,General Surgery,Hernia Repair  (Adult),"McGibney, Kieron",,,,,64,109,96,241
2022_q3,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2022,3,21,38,48,507
2023_q2,,Osteotomy,,Total,Provincial,2023,2,,,60,278
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Wasserman, Lukas",,,,,37,238,34,75
12month_rolling,Urology,Prostatectomy,"Rendon, Ricardo",,,,,23,114,151,202
2023_q1,,Hand / Upper Extremity,,Zone 4,QE2,2023,1,202,329,98,503
12month_rolling,,Cardioversion,,Zone 1,Valley Regional,2024,3,26,37,12,22
2022_q3,,Gallbladder Surgery,,Zone 1,South Shore Regional,2022,3,28,64,43,146
2024_q2,,Shoulder Arthroplasty,,Total,Provincial,2024,2,133,641,203,628
12month_rolling,Plastic Surgery,Aesthetic Surgery,"Nel, Corne",,,,,97,173,117,160
12month_rolling,,Pilonidal Cyst Surgery,,Zone 3,Glace Bay,2024,3,,,700,813
2023_q4,,Osteotomy,,Total,Provincial,2023,4,,,114,295
2023_q3,,Prostate Surgery - Laparoscopic,,Zone 4,QE2,2023,3,21,48,141,218
2024_q3,,Septoplasty,,Total,Provincial,2024,3,100,566,97,348
2023_q1,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2023,1,,,63,77
2022_q4,,Orthopaedic Trauma,,IWK,IWK,2022,4,,,2,204
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Kelly, Ryan Patrick",,,,,191,362,405,883
2022_q3,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Total,Provincial,2022,3,11,90,45,72
2022_q4,,Ear Tubes  (Pediatric),,Total,Provincial,2022,4,36,185,40,118
2022_q4,,Gastrointestinal Tract Surgery,,Zone 1,Valley Regional,2022,4,,,71,386
2024_q1,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2024,1,,,50,76
12month_rolling,Urology,Bladder Cancer Surgery,"Puthenparumpil, Jacob",,,,,31,93,41,94
2023_q1,,Male Reproductive System Surgery,,Zone 4,Hants Community Hospital,2023,1,157,331,313,608
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Taylor, S. Mark",,,,,53,88,391,1044
2022_q4,,Breast Reconstruction,,Total,Provincial,2022,4,611,944,99,726
3month_rolling,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,3,40,200,99,245
12month_rolling,,Hand / Upper Extremity,,Total,Provincial,2024,3,91,706,109,450
12month_rolling,General Surgery,Bowel Resection,"Stoddart, Todd",,,,,31,58,29,57
2024_q2,,Foot - Arthrodesis,,Total,Provincial,2024,2,224,956,123,305
12month_rolling,Orthopaedic,Back Surgery  (Adult),"Glennie, Raymond Andrew",,,,,115,350,148,230
3month_rolling,,Hernia Repair  (Pediatric),,IWK,IWK,2024,3,89,112,134,303
2024_q2,,Lacrimal Duct Probing,,Total,Provincial,2024,2,41,280,51,209
2022_q3,,Bowel Resection,,Zone 3,St. Martha's Regional,2022,3,,,28,53
12month_rolling,General Surgery,All,"Davies, Dafydd Alexander",,,,,110,614,102,284
2023_q2,,Prostate Surgery,,Zone 4,QE2,2023,2,54,115,88,331
2022_q3,,Kidney Stone Surgery,,Zone 3,Cape Breton Regional,2022,3,,,69,138
2024_q2,,Bladder Cancer Surgery,,Zone 3,Northside General,2024,2,,,81,162
2022_q3,,Hip Replacement Revision,,Total,Provincial,2022,3,,,52,490
2024_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,Dartmouth General,2024,1,117,343,178,244
2022_q4,,Shoulder Arthroscopy,,Zone 1,Valley Regional,2022,4,49,205,658,1225
2024_q2,,Vitreoretinal Diseases,,Zone 4,QE2,2024,2,45,260,22,85
12month_rolling,Orthopaedic,Hip Replacement,"O'Neill, Michelle E",,,,,160,233,99,159
2023_q1,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2023,1,,,43,115
12month_rolling,,Insertion Vascular Access Catheter,,Zone 1,South Shore Regional,2024,3,4,5,8,13
2022_q4,,Surgery for Hearing or Balance Problems of the Ear,,Zone 1,Yarmouth Regional,2022,4,222,1202,15,23
2023_q4,,Prostate Surgery,,Zone 4,QE2,2023,4,58,214,88,324
12month_rolling,Orthopaedic,Orthopaedic Trauma,"Ferguson, Devin",,,,,51,60,66,97
2023_q4,,Ear Tubes  (Pediatric),,Zone 3,St. Martha's Regional,2023,4,52,121,47,106
2024_q1,,Septoplasty,,Zone 4,Dartmouth General,2024,1,56,118,210,381
12month_rolling,General Surgery,Gastric Surgery,"Knapp, Gregory",,,,,16,28,46,109
2024_q2,,Breast Cancer Surgery,,Zone 3,St. Martha's Regional,2024,2,7,19,34,54
12month_rolling,Urology,All,"McGregor, Thomas",,,,,35,84,64,151
2024_q2,,Endarterectomy,,Total,Provincial,2024,2,,,18,115
3month_rolling,,Male Circumcision  (Pediatric),,Total,Provincial,2024,3,42,624,90,444
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 3,Glace Bay,2024,3,332,531,135,613
2024_q1,,Male Reproductive System Surgery,,Total,Provincial,2024,1,75,333,88,483
12month_rolling,Ophthalmology,All,"Koetsie, Karen",,,,,47,105,75,226
3month_rolling,,Male Circumcision  (Adult),,Zone 1,Valley Regional,2024,3,,,135,239
12month_rolling,Orthopaedic,Osteotomy,"Orlik, Benjamin",,,,,54,98,225,343
2023_q4,,Kidney Removal,,Zone 1,Valley Regional,2023,4,,,64,72
2024_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Colchester East Hants Health Centre,2024,1,48,112,55,182
2023_q2,,Bladder Surgery,,Zone 4,QE2,2023,2,11,31,49,87
2023_q4,,Endarterectomy,,Total,Provincial,2023,4,,,52,129
2024_q2,,Hemorrhoidectomy,,Zone 4,Dartmouth General,2024,2,,,128,428
3month_rolling,,Bladder Cancer Surgery,,Zone 4,QE2,2024,3,31,161,42,82
2024_q3,,Cornea and External Disease,,Zone 4,QE2,2024,3,56,232,206,428
12month_rolling,General Surgery,Breast Cancer Surgery,"King, Jenelle",,,,,6,22,21,28
2023_q4,,Bladder Surgery,,Zone 4,QE2,2023,4,25,40,30,64
12month_rolling,Orthopaedic,Shoulder Arthroplasty,"Hamilton, Christopher",,,,,255,278,85,135
12month_rolling,General Surgery,Bowel Resection,"Yaffe, Paul",,,,,27,56,36,63
2023_q3,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2023,3,61,462,85,230
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Hossain, Farisa",,,,,46,101,93,114
2023_q2,,Lymph Node Biopsy,,Zone 4,QE2,2023,2,8,22,13,92
2024_q3,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2024,3,110,322,94,273
12month_rolling,Plastic Surgery,Melanoma Excision,"LeBlanc, Martin",,,,,9,36,19,22
2023_q4,,Kidney Stone Surgery,,Zone 4,Dartmouth General,2023,4,39,76,,
2023_q2,,Kidney Removal,,Zone 3,Cape Breton Regional,2023,2,,,58,77
12month_rolling,Plastic Surgery,Hand / Upper Extremity,"Paletz, Justin L",,,,,511,1497,54,147
2023_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 2,Cumberland Regional,2023,2,36,71,34,108
12month_rolling,Urology,Cystoscopy,"Moore, Jonathan Peter",,,,,42,96,91,442
2022_q3,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2022,3,78,276,110,275
2023_q2,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2023,2,36,100,40,104
2023_q2,,Whipple Procedures,,Total,Provincial,2023,2,11,17,15,28
2023_q1,,Colorectal Cancer Surgery,,Total,Provincial,2023,1,25,95,28,60
2022_q3,,Hip Replacement,,Total,Provincial,2022,3,172,354,204,653
2023_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2023,1,51,659,131,360
2023_q2,,Bowel Resection - Laparoscopic,,Total,Provincial,2023,2,21,140,33,101
2022_q3,,Back Surgery  (Pediatric),,IWK,IWK,2022,3,,,184,332
2022_q4,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2022,4,88,275,50,307
2023_q4,,Head and Neck Surgery,,Zone 4,Dartmouth General,2023,4,16,27,131,282
2022_q4,,Knee Replacement,,Total,Provincial,2022,4,167,482,263,711
12month_rolling,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,Cape Breton Regional,2024,3,40,104,62,325
2023_q3,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2023,3,40,504,31,118
12month_rolling,Otolaryngology (ENT),Tonsillectomy and/or Adenoidectomy  (Adult),"Taylor, Benjamin A",,,,,77,402,49,102
2023_q3,,Craniotomy or Craniectomy,,Total,Provincial,2023,3,,,53,157
2023_q1,,Cystoscopy,,IWK,IWK,2023,1,,,72,225
2022_q3,,Hernia Repair - Inguinal/Femoral,,Zone 2,Aberdeen Hospital,2022,3,105,266,263,334
2023_q4,,Endarterectomy,,Zone 4,QE2,2023,4,,,52,129
2023_q3,,Bariatric Surgery (for Weight Loss),,Total,Provincial,2023,3,83,174,267,329
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Stewart, Riley",,,,,83,105,100,244
2023_q2,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2023,2,106,394,97,469
12month_rolling,General Surgery,Hernia Repair  (Adult),"Clark, F Donald",,,,,60,91,69,101
2023_q4,,Liver Surgery,,Zone 4,QE2,2023,4,18,39,27,93
12month_rolling,General Surgery,All,"Gala Lopez, Boris",,,,,27,70,50,153
3month_rolling,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2024,3,35,56,84,213
2024_q1,,Hand / Upper Extremity,,Zone 4,QE2,2024,1,52,576,82,405
2022_q4,,Wound Management,,Total,Provincial,2022,4,,,54,183
2023_q2,,Cystoscopy,,Total,Provincial,2023,2,43,164,35,204
2023_q3,,Breast Cancer Surgery,,Zone 1,Valley Regional,2023,3,14,29,23,54
12month_rolling,Orthopaedic,Orthopaedic Trauma,"Coles, Chad P",,,,,19,22,75,150
2022_q4,,Spinal Cord Stimulation Surgery,,Zone 4,QE2,2022,4,,,181,289
12month_rolling,Urology,All,"Moore, Jonathan Peter",,,,,48,126,100,427
2023_q4,,Video-Assisted Thoracic Surgery,,Zone 4,QE2,2023,4,27,64,37,97
2024_q2,,Kidney / Upper Urinary Tract,,Total,Provincial,2024,2,9,77,38,194
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"de Boer, Krista",,,,,61,118,114,272
